department,date,income
Мероприятия ФД,2025-02-24,2000.0
СМ,2025-02-24,7541.25
ТЗ,2025-02-24,108851.75
БК,2025-02-25,3468.75
ГП,2025-02-25,67185.5
ДЦ,2025-02-25,18267.0
Массаж,2025-02-25,20345.0
СМ,2025-02-25,4095.0
ТЗ,2025-02-25,98141.4
БК,2025-02-26,4390.0
ГП,2025-02-26,44398.5
ДЦ,2025-02-26,18767.5
Массаж,2025-02-26,20419.0
Мероприятия ФД,2025-02-26,15000.0
СМ,2025-02-26,4582.5
ТЗ,2025-02-26,137973.0
БК,2025-02-27,20168.75
ГП,2025-02-27,32695.0
ДЦ,2025-02-27,11583.0
Массаж,2025-02-27,35599.0
СМ,2025-02-27,3753.75
ТЗ,2025-02-27,93298.15
БК,2025-02-28,5043.75
ГП,2025-02-28,57514.25
ДЦ,2025-02-28,16105.5
Массаж,2025-02-28,18945.0
Мероприятия ФД,2025-02-28,15000.0
СМ,2025-02-28,5557.5
ТЗ,2025-02-28,157298.75
БК,2025-03-01,2727.5
ГП,2025-03-01,23920.0
ДЦ,2025-03-01,1860.0
Массаж,2025-03-01,4250.0
СМ,2025-03-01,975.0
ТЗ,2025-03-01,63200.0
БК,2025-03-02,1402.5
ГП,2025-03-02,19145.0
ДЦ,2025-03-02,465.0
Массаж,2025-03-02,12076.25
Мероприятия ФД,2025-03-02,19850.0
СМ,2025-03-02,5411.25
ТЗ,2025-03-02,32602.5
БК,2025-03-03,2685.0
ГП,2025-03-03,41584.0
ДЦ,2025-03-03,18802.0
Массаж,2025-03-03,20959.0
Мероприятия ФД,2025-03-03,1050.0
СМ,2025-03-03,975.0
ТЗ,2025-03-03,108477.5
БК,2025-03-04,2127.5
ГП,2025-03-04,49748.25
ДЦ,2025-03-04,23133.0
Массаж,2025-03-04,13045.0
Мероприятия ФД,2025-03-04,4000.0
СМ,2025-03-04,4882.5
ТЗ,2025-03-04,96713.9
БК,2025-03-05,3235.0
ГП,2025-03-05,33819.25
ДЦ,2025-03-05,18917.5
Массаж,2025-03-05,23422.5
Мероприятия ФД,2025-03-05,2000.0
СМ,2025-03-05,3900.0
ТЗ,2025-03-05,107625.75
БК,2025-03-06,2805.0
ГП,2025-03-06,51019.25
ДЦ,2025-03-06,13850.0
Массаж,2025-03-06,18803.0
Мероприятия ФД,2025-03-06,1800.0
СМ,2025-03-06,2925.0
ТЗ,2025-03-06,113824.25
БК,2025-03-07,4852.5
ГП,2025-03-07,30123.5
ДЦ,2025-03-07,14437.25
Массаж,2025-03-07,12081.25
Мероприятия ФД,2025-03-07,5100.0
СМ,2025-03-07,4728.75
ТЗ,2025-03-07,108627.65
БК,2025-03-08,725.0
ГП,2025-03-08,13672.5
ДЦ,2025-03-08,890.0
Массаж,2025-03-08,9847.5
СМ,2025-03-08,2925.0
ТЗ,2025-03-08,56504.25
ГП,2025-03-09,15961.25
ДЦ,2025-03-09,5047.5
Массаж,2025-03-09,4400.0
СМ,2025-03-09,3900.0
ТЗ,2025-03-09,25916.0
БК,2025-03-10,7583.75
ГП,2025-03-10,36050.0
ДЦ,2025-03-10,19159.0
Массаж,2025-03-10,19267.0
Мероприятия ФД,2025-03-10,15000.0
СМ,2025-03-10,3525.0
ТЗ,2025-03-10,109968.25
БК,2025-03-11,0.0
ГП,2025-03-11,47228.5
ДЦ,2025-03-11,15158.75
Массаж,2025-03-11,22585.5
Мероприятия ФД,2025-03-11,550.0
СМ,2025-03-11,2486.25
ТЗ,2025-03-11,130252.0
БК,2025-03-12,6235.0
ГП,2025-03-12,46090.75
ДЦ,2025-03-12,19580.0
Массаж,2025-03-12,25056.5
Мероприятия ФД,2025-03-12,550.0
СМ,2025-03-12,1803.75
ТЗ,2025-03-12,112669.25
